,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,Procurement Tracking Number
5161,VA,,,,Dermatoscope SR37,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
5162,VA,,,,Dermatoscope SR37,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
5163,VA,,,,Dermatoscope SR37,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
5164,VA,,,,Dermatoscope SR37,,"$25,000.01 to $150,000",,Not Set-Aside ,Q3 ,,
5199,VA,,,,"EHRM Infrastructure Upgrade New 
Data Center Tier 2 Design - Jefferson Barracks - St. Louis, MO 657-21-709JB ",," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
5217,VA,,,,"EHRM Infrastructure Upgrades Tier 2
Data Center Design Huntington, WV ",," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
5234,VA,,,,Mod 1 Data Center Modifications 36C77621N3659 (VA-22-00045516),,"$3,000.01 to $25,000",,,Q2 ,,
5386,VA,,,,"521-HUMAN PERFORMANCE AND REHAB- COLUMBUS,GA 5048 (VA-22-00043894)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Pharmaceutical Prime Vendor ,
5394,VA,,,,619-22-1-7113-0005 Software Maintenance & Service Data Innovations (VA-22-00000398),,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Sole Source ,
5457,VA,,,,"679-22-1-028-0002 Data Innovations, LLC - 36C247-18-C-0017 (VA-22-00005929)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Open Market ,
5569,VA,,,,691-22-2-5042-0224 *SPECIAL* Precedence| NEW Requirement | Inspection and Repair of various UST's to ensure EPA compliance and inspection safety|COR@Sta.691- Robert DALLEY| @NCO-22: Chelsea BLACK for routing| (VA-22-00045643),,"$3,000.01 to $25,000",,,Q2 ,,
5783,VA,,,,644 | ED/Police Department Janitorial Services OY4 Modification ,," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB Veteran Owned SB ,Q1 ,Open Market ,
5793,VA,,,,644-20-003 RME Storage Environmental Control Compliance Corrections,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Indefinite Delivery Indefinite Quantity ,
5871,VA,,,,POLICE SIMULATOR PRE VIRTRA SERVICE AGREEMENT (VA-22-00009820) BASE YEAR,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
5932,VA,,,,605-22-2-5037-0087 ED Upgrade Project Security-Police Services DELIVER TO: POLICE/ED UPGRADE (VA-22-00049529),,"$25,000.01 to $150,000",,Small Business ,Q2 ,Sole Source ,
6066,VA,,,,Police Upgrade Compliance Surveillance System (VA-22-00025848),," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q2 ,Federal Supply Schedule ,
6107,VA,,,,XENEX Germ-Zapping Robots Service,,"$25,000.01 to $150,000",,Small Business ,Q1 ,Sole Source ,
6160,VA,,,,564-22-1-561-0007 New Police/Engineering Radio System Maintenance/Software Support  (VA-22-00007826),,"$3,000.01 to $25,000",,Small Business ,Q1 ,Sole Source ,
6224,VA,,,,"564-22-2-081-0247, Upgrade on the Philips Xcelera EchoCardio Imaging and Data Storage Platform",," $150,000.01 to $5,000,000",,Not Set-Aside ,Q2 ,Medical/Surgical Prime Vendor ,
6350,VA,,,,640-22-1-5058-0002 City of Livermore LABORATORY SEWAGE TESTING #36C26119C0017  (VA-22-00001855),,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
6417,VA,,,,Rapid Test Data Installation | 662-22-2-6071-0349 | **COVID-19**  ,,"$3,000.01 to $25,000",,Small Business ,Q2 ,Sole Source ,
6684,VA,,,, 662-22-1-6033-0020 PERMATECT RESTORATION SERVICE (VA-22-00001236),," $150,000.01 to $5,000,000",,Small Business ,Q1 ,Open Market ,
6714,VA,,,,459-22-1-105-0005 - Data Innovations - Option Year 4 (VA-21-00082771) GS35F389DA,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
6792,VA,,,,640-22-1-5027-0001 Data Drops at T365 Menlo Park (VA-21-00089895),,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q1 ,Indefinite Delivery Indefinite Quantity ,
6801,VA,,,,640-22-3-034-0125 Data Innovations support contract (VA-22-00058724),,"$3,000.01 to $25,000",,,Q3 ,,
6844,VA,,,,HI PROS - PERMOBIL F3 CORPUS WHEELCHAIR (VA-22-00058740),,"$3,000.01 to $25,000",,,Q3 ,,
6899,VA,,,,PROS-01242022-1302454-PA Permobile,,"$3,000.01 to $25,000",,HubZone Small Business ,Q2 ,Federal Supply Schedule ,
6927,VA,,,,PROS-11182021-640802-FRE Permobil,,"$3,000.01 to $25,000",,HubZone Small Business Women Owned SB ,Q1 ,Federal Supply Schedule ,
6929,VA,,,,PROS-11222021-642571-FRE Permobil,,"$3,000.01 to $25,000",,HubZone Small Business Women Owned SB ,Q1 ,Federal Supply Schedule ,
6943,VA,,,,PROS-HI-PERMOBIL (VA-22-00058725),,"$3,000.01 to $25,000",,,Q3 ,,
6967,VA,,,,"Vaccine Mandate
Contract terminated (see MOD P0001)",,,,Veteran Owned SB ,Q2 ,Other Government Contracts ,
7031,VA,,,,"(635) | SSA | HCR | Ophthalmology Services Long-Term  (VA-22-00019763)
10/1/22-9/30/23 | University of Oklahoma",," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,Sole Source ,
7107,VA,,,,(C2) Option Yr2  36C25920F0156 V19 DSS Databridge  10/1/2021 to 9/30/2022 (VA-22-00003423),," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q1 ,SEWP ,
7116,VA,,,,(CNH)(660) New Request Long Term Woodland Park Care Center Contract (VA-21-00032252),,"Greater than $5,000,000",,Small Business ,Q2 ,Sole Source ,
7139,VA,,,,"(S) (660)-EXERSISE OPTION YEAR 2- (PO# 660-22-1-4086-0001) - PITNEY BOWES GLOBAL FINANCIAL SERVICES LLC - ATTN: Russell Morris
 (VA-22-00010426)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
7155,VA,,,,(S)442 Police psych evaluations 36C25921P0186 OY1 (VA-22-00028334),,"$3,000.01 to $25,000",,,Q1 ,,
7181,VA,,,,(Sup 1)554 | Decrease Modification | Data Innovations Software Support | Four Points | VA259-16-F-3563 | 554-C80455  (VA-21-00097008),,,,,Q1 ,,
7240,VA,,,,495 Mod Period of Performance Change 36C10G18D0025_ 36C25922N0089 VISN 19 Furniture Purchase. (VA-22-00036700),,,,Service Disabled Veteran Owned SB ,Q2 ,Indefinite Delivery Indefinite Quantity ,
7254,VA,,,,554 (C) Non-Public CIVHC Receipt of Data License for #20.43 Denver VA Patient Matching Research (VA-22-00015055),,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Sole Source ,
7309,VA,,,,623 (SUP) OPTION YEAR ONE 36C25921F0206 SCRIPTPRO FY22 SUNNIE GERMAINE PICKETT (VA-22-00007368),,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Sole Source ,
7316,VA,,,,623-22-1-4352-0023 (ACT-THCC) VA POLICE RIFLES THCC (VA-22-00015839),,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Blanket Purchase Agreement ,
7325,VA,,,,635 - OKLAHOMA CITY VAMC Data Innovations (4 points) OY2 Renewal Contract: 36C25920F0032 (VA-22-00002389),,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q1 ,SEWP ,
7328,VA,,,,635 | HCR | Cardiac Anesthesiology Physician Services | Long Term ,," $150,000.01 to $5,000,000",,Not Set-Aside ,Q3 ,Federal Supply Schedule ,
7344,VA,,,,635-ICU/MedSurg RN Srvcs - Long Term (VA-21-00089759),," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q2 ,Federal Supply Schedule ,
7392,VA,,,,"BASE PERIOD OF PERFORMANCE: Emergent 2 month Security Guards 
To Support Covid Screeners @ SHE (VA-22-00011252) 666-21-4-597-0425",,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Sole Source ,
7429,VA,,,,COR reported two perfusionist have been hired. Long Term is no longer needed. ,," $150,000.01 to $5,000,000",,Small Business ,Q1 ,Open Market ,
7435,VA,,,,DATABRIDGE AND ACUTECARE Option Year (VA-22-00005991),,"$25,000.01 to $150,000",,,Q1 ,,
7474,VA,,,,EMERGENCY URGENT STEAM QUALITY AUDIT - 554,,"$3,000.01 to $25,000",,,Q2 ,,
7492,VA,,,,FORCE FCP 555 N. OKC CBOC FURNITURE - HERMAN MILLER/procedure carts (VA-22-00041294),,"$25,000.01 to $150,000",,Small Business ,Q3 ,Indefinite Delivery Indefinite Quantity ,
7546,VA,,,,Lance Davis NCO 19 Increase 436C20128 Wage Determination 36C25918C0123 General Maintenance Worker (Miles City) OPT YR 4 (VA-22-00056509) (VA-22-00056512),,"$1 to $2,500",,,Q2 ,,
7595,VA,,,,OY1 36C25921P0331 - Foreign Medication Identification Database Subscription (VA-22-00046118),,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q2 ,Open Market ,
7631,VA,,,,"POLICE PSYCH EVALS
436-22-2-4076-0038 ",,"$3,000.01 to $25,000",,Small Business ,Q2 ,Open Market ,
7632,VA,,,,"Preventive maintenance, education and data reporting services for the BD ALARIS System - 554",,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Sole Source ,
7638,VA,,,,PROS-1-442-PWC-R9554-PERMOBILF5-486621 (VA-22-00017041),,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
7649,VA,,,,PROS-554-1-PWR WC-PERMOBIL-W0533-1329858-031622 (VA-22-00052027),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Sole Source ,
7659,VA,,,,PROS-554-2-PWR WC-PERMOBIL-C2115-131602-012721 (VA-22-00039154)  5542Q3344,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
7680,VA,,,,PROS2- 660- A3547- PERMOBIL- POWER MOBILITY-999460 (VA-22-00032964)  660Q22606,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
7715,VA,,,,"Shuttle Service (OKC)
Increase PO# 635-C20049 ($563.76) due to Wage Determination Increase OY#2 (10-1-2021 / 9-30-2022) New PO Total is $249,863.76",,"$1 to $2,500",,Service Disabled Veteran Owned SB ,Q2 ,Open Market ,
7725,VA,,,,"SSA | HCR | 635 | On-Call ENT Long-Term 
4/1/22 - 3/31/2032 | Univ of Oklahoma",," $150,000.01 to $5,000,000",,Not Set-Aside ,Q3 ,Sole Source ,
7753,VA,,,,"V19 DSS Databridge 36C25920F0156 Change order request, assign NCO: Rayshun Jennings (VA-22-00009357)",,"$25,000.01 to $150,000",,,Q1 ,,
7779,VA,,,,"XENEX GERM ZAPPING ROBOTS (MUS)
623-22-1-5033-0002 OPT YR 2 36C25920F0283  (VA-21-00090181)",,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
7845,VA,,,,"Police Locker Room Support Space
523-22-014",," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q2 ,Indefinite Delivery Indefinite Quantity ,
7895,VA,,,,581-22-1-931-0015 PHARMACY DATA & PRINTER (VA-22-00029044),,"$25,000.01 to $150,000",,Not Set-Aside ,Q2 ,General Service Administration Contract ,
7933,VA,,,,"PO688-C20024 | MOD P00004 | INCREASE MOD | OY 2 | POP: 10/01/2021 - 09/30/2022 | HPV MOLECULAR ANALYZER | Increase Mod 36C24520C0016 | 688C20024 | Hologic Inc.  (VA-22-00032633) STATUS: AWARDED | C03(SF30) COUNTERSIGNED FULLY EXECUTED INCREASE MOD & C04, TRANSACTION COMPLETED UPLOADED IN ECMS. (02/03/2022 MA). ESTIMATED AWARD BY 01/31/2022 (01/27/2022 MA). FUNDS AVAILABLE CONFIRMED BY DC FISCAL. ESTIMATED CREATING MOD BY 01/24/2022 (01/20/2022 MA).(01/13/2022 MA).  EMAIL SENT TO DC BUDGET TO CONFIRM ADDITIONAL AMOUNT IS AVAILABLE TO COMPLETE THE INCREASE MOD FOR PO688-C20024 ESTIMATED RESPONSE. COB 01/14/2022 (01/06/2022 MA). ",,"$25,000.01 to $150,000",,Not Set-Aside ,Q2 ,Blanket Purchase Agreement ,
7957,VA,,,, 516R28843 / vet/EIN#1528321-B4397/M5 CORPUS-M5 MPO/(PERMOBIL)/STANDARD/991 (VA-22-00029456),,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Open Market ,
7967,VA,,,,546/ VETERAN /1292921-V6929 / WHEELCHAIR / PERMOBIL / STANDARD/911 (VA-22-00032710),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
7970,VA,,,,548 STANDARD/VETERAN/1218665-P2945/PERMOBILE M5 POWERWHEEL CHAIR/PERMOBILE INC/FCP 914 (VA-22-00032681),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
7973,VA,,,,548Q29253 / STANDARD/VETERAN/12189773-C5648/PERMOBILE F5/PERMOBILE INC/FCP 914 (VA-22-00032619),,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q2 ,Federal Supply Schedule ,
7980,VA,,,,573/VETERAN/2980422-R8609/F3 PWC/PERMOBIL/1901/SPECIAL (VA-22-00022814),,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Open Market ,
7983,VA,,,,"672/VETERAN/EIN#2051519/L9303/M5 Base Corpus -MPO/PERMOBIL/STANDARD/FCP#9924
 (VA-22-00016842)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Open Market ,
7984,VA,,,,672/VETERAN/IEN#2063292/S2827/M5 Base Corpus/PERMOBIL/STANDARD/9924 (VA-22-00026277),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Open Market ,
7986,VA,,,,672/VETERANS/2049764-M8893/M5 Base Corpus - M5 MPO/PERMOBIL/STANDARD/9924/VA-22-00015527 (VA-22-00015527),,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Open Market ,
7997,VA,,,,673/Veteran/2683582-Y9668/Permobil/Permobil F3 Pwc/362/Med (VA-22-00040212),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Open Market ,
8004,VA,,,,673R26908/VETERAN/2696851-T3495/POWER WHEELCHAIR/PERMOBIL INC/SPECIAL/362 (VA-22-00050695),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8023,VA,,,,FY22 MOD Termination: Ocala West Lease ,,,,Not Set-Aside ,Q4 ,Sole Source ,
8059,VA,,,,VETERAN |2040070-G8327 |M5 Base Corpus |PERMOBIL |STANDARD |FCP 9924 (VA-22-00012069 |672-Q20937,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
8060,VA,,,,VETERAN |2058244-P9625 |M300 CORPUS HD |PERMOBIL |STANDARD |9924 (VA-22-00022342 |672-Q28024,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
8061,VA,,,,VETERAN |2058249-T4896 |M5 Base Corpus-M5 MPO |PERMOBIL |9924  (VA-22-00027082 |672-2Q2402,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8064,VA,,,,VETERAN |2663796-M1330 |F3 CORPUS |PERMOBIL |MED |362 (VA-22-00025554 |673-2Q0851,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
8065,VA,,,,Veteran |2663951-H4152 |F3 MPO Pwc |Permobil |362 |Med (VA-22-00027630 |673-2Q3722,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8066,VA,,,,Veteran |2670592-S7291 |F3 MPO PWC |Permobil |362 |High (VA-22-00030409 |673-2Q6211,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8067,VA,,,,Veteran |2680362-W2252 |F3-MPO Pwc |Permobil |362 |Med (VA-22-00039885 |673-R20470,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8070,VA,,,,Veteran |3000578-C1224 |F3 PWC Corpus |Permobil |1911 |Special (VA-22-00035088 |573-2I7620,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8071,VA,,,,VETERAN |3005816-55 |M3 MPO POWERCHAIR |PERMOBIL |SPECIAL |1911 (VA-22-00029237 |573-2I3555,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
8072,VA,,,,"VETERAN|1508340-B6776|F3 Base Corpus-F3 MPO|PERMOBIL|STD|991|516-1QO573|
(VA-22-00011178)",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
8184,VA,,,,FY22: Lee County Police Radio Usage ,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
8185,VA,,,,FY22: Lee County Police Radio Usage ,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
8186,VA,,,,FY22: Lee County Police Radio Usage ,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
8271,VA,,,,MOD: FY22- EXERCISE OPTION 3 Lab Data Manager Maintenance & Support,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,SEWP ,
8272,VA,,,,MOD: FY22- EXERCISE OPTION 3 Lab Data Manager Maintenance & Support,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,SEWP ,
8273,VA,,,,MOD: FY22- EXERCISE OPTION 3 Lab Data Manager Maintenance & Support,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,SEWP ,
8286,VA,,,,Supply: Healthcare Database Subscriptions,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
8287,VA,,,,Supply: Healthcare Database Subscriptions,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
8288,VA,,,,Supply: Healthcare Database Subscriptions,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
8346,VA,,,,Emergency Traffic Control Police Services (VA-22-00044466),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Sole Source ,
8347,VA,,,,Emergency Traffic Control Police Services (VA-22-00044466),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Sole Source ,
8478,VA,,,,FY22: Tier 2- Proj: 675-22-809 - Repurpose Lakemont CPAC Datacenter ,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
8479,VA,,,,FY22: Tier 2- Proj: 675-22-809 - Repurpose Lakemont CPAC Datacenter ,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
8621,VA,,,,FY22 Four Points Technology - Database and eBooks (VA-21-00084726),,"$3,000.01 to $25,000",,,Q1 ,,
8756,VA,,,,"FY22: Convert Pneumatic Controls to DDC
MOD: Extend Period of Performance",,,,Not Set-Aside ,Q2 ,Sole Source ,
8757,VA,,,,"FY22: Convert Pneumatic Controls to DDC 
MOD Extend Period of Performance",,,,Not Set-Aside ,Q1 ,Sole Source ,
8789,VA,,,,FY22: Police Officer Medical | Psychological Certification ,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Open Market ,
8891,VA,,,,5162R5553/VETERAN/1541514-D8953/POWER WC/PERMOBILE/992/VA-22-00044611 (VA-22-00044611),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8892,VA,,,,5162R5553/VETERAN/1541514-D8953/POWER WC/PERMOBILE/992/VA-22-00044611 (VA-22-00044611),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8893,VA,,,,5162R5583/PAY ONLY/1538959-M4681/POWER WHEELCHAIR/PERMOBIL/991 OR 992/MEDIUM (VA-22-00044897),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8894,VA,,,,5162R5583/PAY ONLY/1538959-M4681/POWER WHEELCHAIR/PERMOBIL/991 OR 992/MEDIUM (VA-22-00044897),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8895,VA,,,,5162R6192/VETERAN/1541990-a6654/PWR WC/PERMOBIL/992 (VA-22-00046183),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8896,VA,,,,5162R6192/VETERAN/1541990-a6654/PWR WC/PERMOBIL/992 (VA-22-00046183),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8905,VA,,,,546/ VETERAN /1304405-L4843 / WHEELCHAIR / PERMOBIL / STANDARD /911 (VA-22-00050709),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8906,VA,,,,546/ VETERAN /1304405-L4843 / WHEELCHAIR / PERMOBIL / STANDARD /911 (VA-22-00050709),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
8939,VA,,,,573/Veteran/3041610-M6960/PowerChair/Permobil/Special/1902 (VA-22-00049088),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Open Market ,
8940,VA,,,,573/Veteran/3041610-M6960/PowerChair/Permobil/Special/1902 (VA-22-00049088),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Open Market ,
8993,VA,,,,673/Veteran/2703577-Y9359/Permobil/Permobil F5 Pwc/362/Med (VA-22-00058430),,"$3,000.01 to $25,000",,Not Set-Aside ,Q3 ,Open Market ,
8994,VA,,,,673/Veteran/2703577-Y9359/Permobil/Permobil F5 Pwc/362/Med (VA-22-00058430),,"$3,000.01 to $25,000",,Not Set-Aside ,Q3 ,Open Market ,
8995,VA,,,,673/Veteran/Tampa Psas/2702344-L4481/Permobil/Permobil F3 Pwc/Med/362 (VA-22-00055331),,"$3,000.01 to $25,000",,Not Set-Aside ,Q3 ,Open Market ,
8996,VA,,,,673/Veteran/Tampa Psas/2702344-L4481/Permobil/Permobil F3 Pwc/Med/362 (VA-22-00055331),,"$3,000.01 to $25,000",,Not Set-Aside ,Q3 ,Open Market ,
9005,VA,,,,"675/VET/1721868-Y6106/PERMOBIL/M3 BASE CORPUS/1911/
MED (VA-22-00037910) 675-I21229",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
9006,VA,,,,"675/VET/1721868-Y6106/PERMOBIL/M3 BASE CORPUS/1911/
MED (VA-22-00037910) 675-I21229",,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
9007,VA,,,,675/VETERAN/1722788-H5929/PWC/PERMOBIL/EMERGENCY/1911 (VA-22-00040846),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
9008,VA,,,,675/VETERAN/1722788-H5929/PWC/PERMOBIL/EMERGENCY/1911 (VA-22-00040846),,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
9129,VA,,,,FY22 MOD Lease Rent: Grant and Per Diem Lease,,"$25,000.01 to $150,000",,Small Business ,Q1 ,Other Government Contracts ,
9130,VA,,,,FY22 MOD Lease Rent: Grant and Per Diem Lease,,"$25,000.01 to $150,000",,Small Business ,Q1 ,Other Government Contracts ,
9175,VA,,,,FY22-Tier 1: STA (PROJ: 673-21-122) D/B Install Police Evidence Secured Storage,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
9176,VA,,,,FY22-Tier 1: STA (PROJ: 673-21-122) D/B Install Police Evidence Secured Storage,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
9217,VA,,,,"FY22: Data Innovations Systems Support Services
Option Year 3",,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,General Service Administration Contract ,
9218,VA,,,,"FY22: Data Innovations Systems Support Services
Option Year 3",,"$25,000.01 to $150,000",,Not Set-Aside ,Q1 ,General Service Administration Contract ,
9371,VA,,,,"FY22: Police Radio System Maintenance
Base Year",,"$25,000.01 to $150,000",,Not Set-Aside ,Q2 ,Sole Source ,
9372,VA,,,,"FY22: Police Radio System Maintenance
Base Year",,"$25,000.01 to $150,000",,Not Set-Aside ,Q2 ,Sole Source ,
9575,VA,,,,VETERAN |1290492-M8430 |MPO 05 WHEELCHAIR |PERMOBIL |STANDARD |911 (VA-22-00030168 |546-2Q0444,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
9576,VA,,,,VETERAN |1290492-M8430 |MPO 05 WHEELCHAIR |PERMOBIL |STANDARD |911 (VA-22-00030168 |546-2Q0444,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
9599,VA,,,,Veteran |2703414-W1787 |MPO F5 Pwc |Permobil |362 |Med (VA-22-00054835 |673-2R1513,,"$3,000.01 to $25,000",,Not Set-Aside ,Q3 ,Federal Supply Schedule ,
9600,VA,,,,Veteran |2703414-W1787 |MPO F5 Pwc |Permobil |362 |Med (VA-22-00054835 |673-2R1513,,"$3,000.01 to $25,000",,Not Set-Aside ,Q3 ,Federal Supply Schedule ,
9627,VA,,,,Veteran |3042874-P8391 |M5 PWC |Permobil |Special |1911 (VA-22-00050778 |573-2J6862,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
9628,VA,,,,Veteran |3042874-P8391 |M5 PWC |Permobil |Special |1911 (VA-22-00050778 |573-2J6862,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
9655,VA,,,,VETERANS |2692561-D7197 |POWERCHAIR |PERMOBIL |SPECIAL |362 (VA-22-00047555 |673-R25895,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
9656,VA,,,,VETERANS |2692561-D7197 |POWERCHAIR |PERMOBIL |SPECIAL |362 (VA-22-00047555 |673-R25895,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
9665,VA,,,,Weapon Safe for Police Office ,,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
9666,VA,,,,Weapon Safe for Police Office ,,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
9700,VA,,,,Auditory Function Screening Device,,"$25,000.01 to $150,000",,Small Business ,Q3 ,Medical/Surgical Prime Vendor ,
9701,VA,,,,Auditory Function Screening Device,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q2 ,Open Market ,
9763,VA,,,,"FY22 MOD Police Communication Network
MOD to extend services 3-mo",,"$25,000.01 to $150,000",,Not Set-Aside ,Q4 ,Open Market Performance Based Service Agreement ,
9779,VA,,,,FY22 Tier 2 NRM DB (Proj: 675-22-805) Add Power and Data Connections to Screening Structures - Viera ,,"$25,000.01 to $150,000",,Small Business ,Q3 ,Open Market ,
9793,VA,,,,FY22: NRM Tier 2 (PROJ: 675-22-807) DB Add Power & Data Connections to Screening Structures for Lake Baldwin,," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q3 ,Open Market ,
